group,location,site_id,x_centre_4326,y_centre_4326,xmin_4326,ymin_4326,xmax_4326,ymax_4326,xmin_3577,ymin_3577,xmax_3577,ymax_3577,year,date,observation_count,notes
"NSW, Hovells Creek",Back of Lyn's land,4,148.866375,-34.07984167,148.860261,-34.084878,148.872489,-34.074806,1543936.062,-3822240.183,1544936.062,-3821240.183,2016,2016/10/14,,
"NSW, Hovells Creek",Back of Lyn's land,4,148.866375,-34.07984167,148.860261,-34.084878,148.872489,-34.074806,1543936.062,-3822240.183,1544936.062,-3821240.183,2013,2013/10/31,,
"NSW, Hovells Creek",Back of Lyn's land,4,148.866375,-34.07984167,148.860261,-34.084878,148.872489,-34.074806,1543936.062,-3822240.183,1544936.062,-3821240.183,2020,2020/5/24,,(some cloud)
"NSW, Hovells Creek",Back of Lyn's land,4,148.866375,-34.07984167,148.860261,-34.084878,148.872489,-34.074806,1543936.062,-3822240.183,1544936.062,-3821240.183,2013,2013/10/29,,(cloud)
"NSW, Hovells Creek",Back of Lyn's land,4,148.866375,-34.07984167,148.860261,-34.084878,148.872489,-34.074806,1543936.062,-3822240.183,1544936.062,-3821240.183,2013,2013/1/23,,
"NSW, Hovells Creek",South of Chudleigh,5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,2021,2021/1/13,2,
"NSW, Hovells Creek",South of Chudleigh,5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,2020,2020/5/25,,
"NSW, Hovells Creek",South of Chudleigh,5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,2018,2018/9/29,,
"NSW, Hovells Creek",South of Chudleigh,5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,2017,2017/8/14,,
"NSW, Hovells Creek",South of Chudleigh,5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,2016,2016/10/14,,
"NSW, Hovells Creek",South of Chudleigh,5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,2013,2013/10/31,,
"NSW, Hovells Creek",South of Chudleigh,5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,2020,2020/5/24,,
"NSW, Hovells Creek",South of Chudleigh,5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,2013,2013/10/29,,
"NSW, Hovells Creek",South of Chudleigh,5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,2013,2013/1/23,,
"NSW, Hovells Creek",South of Chudleigh,5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,2013,2013/10/10,,
"NSW, Hovells Creek",South of Chudleigh,5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,2013,2013/1/23,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2023,2023/3/10,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2021,2021/1/13,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2020,2020/10/14,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2018,2018/11/19,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2017,2017/11/13,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2016,2016/12/9,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2013,2013/10/30,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2023,2023/3/9,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2021,2020/10/21,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2020,2020/9/29,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2018,2018/11/18,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2017,2017/10/30,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2016,2016/11/7,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2013,2013/10/10,,(very dark)
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2020,2020/9/23,,(cloud)
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2018,2018/10/6,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2016,2016/11/3,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2020,2020/9/6,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2016,2016/11/2,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2020,2020/3/20,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2016,2016/10/25,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2016,2016/10/18,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2016,2016/10/14,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2016,2016/10/13,,
"NSW, Boorowa to Yass",S of Boorowa per book,6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,2016,2016/10/8,,
"NSW, Boorowa to Yass",Near 2 cuttings,7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,2023,2023/3/10,,
"NSW, Boorowa to Yass",Near 2 cuttings,7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,2021,2021/1/13,,
"NSW, Boorowa to Yass",Near 2 cuttings,7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,2020,2020/9/6,,
"NSW, Boorowa to Yass",Near 2 cuttings,7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,2018,2018/11/19,,
"NSW, Boorowa to Yass",Near 2 cuttings,7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,2017,2017/11/13,,
"NSW, Boorowa to Yass",Near 2 cuttings,7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,2016,2016/12/9,,(cloud)
"NSW, Boorowa to Yass",Near 2 cuttings,7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,2013,2013/10/30,,
"NSW, Boorowa to Yass",Near 2 cuttings,7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,2023,2023/3/9,,
"NSW, Boorowa to Yass",Near 2 cuttings,7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,2020,2020/3/20,,
"NSW, Boorowa to Yass",Near 2 cuttings,7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,2018,2018/11/18,,
"NSW, Boorowa to Yass",Near 2 cuttings,7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,2017,2017/10/30,,
"NSW, Boorowa to Yass",Near 2 cuttings,7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,2016,2016/11/7,,
"NSW, Boorowa to Yass",Near 2 cuttings,7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,2013,2013/10/10,,(very dark)
"NSW, Boorowa to Yass",Near 2 cuttings,7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,2018,2018/10/6,,
"NSW, Boorowa to Yass",Near 2 cuttings,7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,2016,2016/11/3,,
"NSW, Boorowa to Yass",Near 2 cuttings,7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,2016,2016/11/2,,(cloud)
"NSW, Boorowa to Yass",Near 2 cuttings,7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,2016,2016/10/25,,
"NSW, Boorowa to Yass",Near 2 cuttings,7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,2016,2016/10/18,,(some cloud)
"NSW, Boorowa to Yass",Near 2 cuttings,7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,2016,2016/10/14,,
"NSW, Boorowa to Yass",Near 2 cuttings,7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,2016,2016/10/13,,
"NSW, Boorowa to Yass",Near 2 cuttings,7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,2016,2016/10/8,,
"NSW, Boorowa to Yass",E of Bowning,8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,2023,2023/3/10,,
"NSW, Boorowa to Yass",E of Bowning,8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,2021,2021/4/1,,
"NSW, Boorowa to Yass",E of Bowning,8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,2020,2020/9/6,2,(some cloud?)
"NSW, Boorowa to Yass",E of Bowning,8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,2018,2018/11/19,,
"NSW, Boorowa to Yass",E of Bowning,8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,2017,2017/10/30,,
"NSW, Boorowa to Yass",E of Bowning,8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,2016,2016/10/8,,
"NSW, Boorowa to Yass",E of Bowning,8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,2014,2014/8/20,,
"NSW, Boorowa to Yass",E of Bowning,8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,2013,2013/10/30,2,
"NSW, Boorowa to Yass",E of Bowning,8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,2023,2023/3/9,,
"NSW, Boorowa to Yass",E of Bowning,8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,2021,2021/3/6,,(cloud)
"NSW, Boorowa to Yass",E of Bowning,8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,2020,2020/8/10,,(cloud)
"NSW, Boorowa to Yass",E of Bowning,8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,2018,2018/11/18,,
"NSW, Boorowa to Yass",E of Bowning,8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,2016,2016/10/8,,
"NSW, Boorowa to Yass",E of Bowning,8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,2021,2021/2/8,,(some cloud)
"NSW, Boorowa to Yass",E of Bowning,8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,2018,2018/9/29,,
"NSW, Boorowa to Yass",NE of Bowning,9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,2023,2023/3/10,,
"NSW, Boorowa to Yass",NE of Bowning,9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,2021,2021/4/1,,
"NSW, Boorowa to Yass",NE of Bowning,9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,2020,2020/9/6,2,(some cloud?)
"NSW, Boorowa to Yass",NE of Bowning,9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,2018,2018/11/19,,
"NSW, Boorowa to Yass",NE of Bowning,9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,2017,2017/10/30,,
"NSW, Boorowa to Yass",NE of Bowning,9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,2016,2016/10/8,2,
"NSW, Boorowa to Yass",NE of Bowning,9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,2014,2014/8/20,,
"NSW, Boorowa to Yass",NE of Bowning,9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,2013,2013/10/30,,
"NSW, Boorowa to Yass",NE of Bowning,9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,2023,2023/3/9,,
"NSW, Boorowa to Yass",NE of Bowning,9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,2021,2021/3/6,,(some cloud?)
"NSW, Boorowa to Yass",NE of Bowning,9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,2020,2020/8/10,,(some cloud)
"NSW, Boorowa to Yass",NE of Bowning,9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,2018,2018/11/18,,
"NSW, Boorowa to Yass",NE of Bowning,9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,2021,2021/2/8,,(some cloud)
"NSW, Boorowa to Yass",NE of Bowning,9,148.8555222,-34.762075,148.849369,-34.767119,148.861676,-34.757031,1532949.904,-3897449.366,1533949.904,-3896449.366,2018,2018/9/29,,
"NSW, Boorowa to Yass",Boorowa Rd joins Hume,10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,2023,2023/3/10,,
"NSW, Boorowa to Yass",Boorowa Rd joins Hume,10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,2021,2021/4/1,,
"NSW, Boorowa to Yass",Boorowa Rd joins Hume,10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,2020,2020/12/18,,(cloud)
"NSW, Boorowa to Yass",Boorowa Rd joins Hume,10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,2019,2019/1/29,,
"NSW, Boorowa to Yass",Boorowa Rd joins Hume,10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,2018,2018/12/1,,
"NSW, Boorowa to Yass",Boorowa Rd joins Hume,10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,2017,2017/10/30,,
"NSW, Boorowa to Yass",Boorowa Rd joins Hume,10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,2016,2016/10/8,2,
"NSW, Boorowa to Yass",Boorowa Rd joins Hume,10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,2014,2014/8/20,2,
"NSW, Boorowa to Yass",Boorowa Rd joins Hume,10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,2013,2013/10/30,,
"NSW, Boorowa to Yass",Boorowa Rd joins Hume,10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,2023,2023/3/9,,
"NSW, Boorowa to Yass",Boorowa Rd joins Hume,10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,2021,2021/3/6,,
"NSW, Boorowa to Yass",Boorowa Rd joins Hume,10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,2020,2020/9/6,2,
"NSW, Boorowa to Yass",Boorowa Rd joins Hume,10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,2018,2018/11/19,,
"NSW, Boorowa to Yass",Boorowa Rd joins Hume,10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,2021,2021/2/8,,(some cloud)
"NSW, Boorowa to Yass",Boorowa Rd joins Hume,10,148.8532972,-34.78713889,148.847143,-34.792183,148.859452,-34.782095,1532381.686,-3900188.321,1533381.686,-3899188.321,2020,2020/8/10,,(some cloud)
