"group","location","site_id","x_centre_4326","y_centre_4326","xmin_4326","ymin_4326","xmax_4326","ymax_4326","xmin_3577","ymin_3577","xmax_3577","ymax_3577","image_id","image_date","image_count","QC_notes"
"NSW Hovells Creek","Back of Lyns land",4,148.866375,-34.07984167,148.860261,-34.084878,148.872489,-34.074806,1543936.062,-3822240.183,1544936.062,-3821240.183,"20170814",2017-08-14,1,NA
"NSW Hovells Creek","Back of Lyns land",4,148.866375,-34.07984167,148.860261,-34.084878,148.872489,-34.074806,1543936.062,-3822240.183,1544936.062,-3821240.183,"20161014",2016-10-14,1,NA
"NSW Hovells Creek","Back of Lyns land",4,148.866375,-34.07984167,148.860261,-34.084878,148.872489,-34.074806,1543936.062,-3822240.183,1544936.062,-3821240.183,"20131031",2013-10-31,1,NA
"NSW Hovells Creek","Back of Lyns land",4,148.866375,-34.07984167,148.860261,-34.084878,148.872489,-34.074806,1543936.062,-3822240.183,1544936.062,-3821240.183,"20200524",2020-05-24,1,"some cloud"
"NSW Hovells Creek","Back of Lyns land",4,148.866375,-34.07984167,148.860261,-34.084878,148.872489,-34.074806,1543936.062,-3822240.183,1544936.062,-3821240.183,"20131029",2013-10-29,1,"cloud"
"NSW Hovells Creek","Back of Lyns land",4,148.866375,-34.07984167,148.860261,-34.084878,148.872489,-34.074806,1543936.062,-3822240.183,1544936.062,-3821240.183,"20130123",2013-01-23,1,NA
"NSW Hovells Creek","South of Chudleigh",5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,"20210113",2021-01-13,2,NA
"NSW Hovells Creek","South of Chudleigh",5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,"20200525",2020-05-25,1,NA
"NSW Hovells Creek","South of Chudleigh",5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,"20180929",2018-09-29,1,NA
"NSW Hovells Creek","South of Chudleigh",5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,"20170814",2017-08-14,1,NA
"NSW Hovells Creek","South of Chudleigh",5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,"20161014",2016-10-14,1,NA
